video_length_sec,editing_quality_score,posting_hour,hashtag_count,follower_count,caption_length,engagement_rate
59,4.9,10,4,115574,148,7.3
22,7.6,8,11,25060,149,6.2
79,1.4,4,11,77675,292,4.46
68,6.1,13,18,87466,142,5.38
28,2.4,2,29,100932,159,4.58
90,2.1,20,5,27283,10,7.82
82,4.1,4,1,57572,137,1.61
82,1.8,4,11,123986,77,0.1
31,1.8,18,18,8013,76,6.6
10,3.8,13,4,31798,253,6.57
29,9.8,3,11,93306,257,7.71
60,2.6,12,26,27282,290,7.31
9,1.2,9,26,29441,262,2.82
37,7.9,17,16,11945,84,11.38
45,8.3,7,28,26229,145,10.19
9,4.1,7,16,144297,41,5.73
71,5.2,6,9,123595,124,6.12
67,6.8,7,24,145560,166,6.67
28,1.4,13,22,89386,240,6.12
40,9.5,18,16,137812,279,13.89
83,9.0,5,14,97968,187,7.23
65,3.3,0,11,42046,18,1.99
29,1.1,22,29,76132,67,6.85
56,9.4,14,15,148754,217,10.82
66,5.5,0,23,23611,101,4.4
49,5.9,16,18,78997,41,8.97
67,7.2,0,7,52507,287,6.43
87,6.5,14,30,134365,166,8.02
22,9.5,22,20,22242,108,12.24
69,9.5,1,16,53130,35,7.82
69,8.8,13,22,98083,231,6.5
54,6.7,20,4,33956,228,12.35
69,8.2,7,21,53468,163,5.37
58,7.1,7,15,49101,72,5.58
62,6.2,18,5,100186,135,8.67
71,2.2,6,7,128586,69,1.78
10,8.3,18,24,5826,195,13.27
58,8.4,5,17,138696,268,9.71
14,6.6,5,24,13057,48,4.61
28,8.4,2,11,133252,129,8.97
80,6.9,6,14,26631,4,6.04
46,2.9,18,26,85176,26,9.88
25,3.5,7,25,82911,159,4.49
11,2.9,9,8,26585,148,2.43
67,4.4,19,12,18839,263,8.77
21,1.4,14,25,85730,229,6.48
16,6.6,14,14,21763,199,9.74
60,4.0,0,9,115872,49,4.59
9,6.9,19,15,137048,66,9.42
67,4.5,6,6,139983,299,2.83
78,7.1,3,16,83170,57,5.05
51,4.1,5,22,85753,258,4.57
15,3.3,0,25,83079,129,4.39
54,5.5,4,20,136927,214,6.95
42,7.2,22,21,45059,171,11.44
85,4.1,0,25,52298,257,2.63
88,9.4,3,6,146523,101,6.51
43,1.4,21,13,122613,208,8.41
57,4.8,1,14,726,290,6.5
11,9.7,9,20,68960,285,4.83
9,5.9,4,6,48037,115,4.62
13,4.8,9,8,11736,263,7.16
61,6.1,0,18,28741,149,6.76
11,6.2,21,15,79283,299,10.18
61,7.6,5,7,34731,35,4.28
70,2.1,12,17,8912,286,4.62
25,3.3,14,26,104301,207,5.32
51,6.2,3,22,65655,105,7.43
41,8.8,12,28,74944,157,9.97
81,6.1,23,17,129949,120,9.68
69,3.1,19,30,5309,54,8.25
21,7.1,23,29,49468,11,9.67
55,7.7,14,19,54815,144,8.85
22,3.1,7,6,82703,135,2.81
79,4.4,4,2,85908,2,2.51
85,5.8,14,17,102671,143,6.55
69,5.5,3,26,83509,29,5.2
47,4.5,11,9,126646,236,5.53
87,3.7,12,6,106861,278,5.89
89,1.9,1,16,6354,114,2.35
60,1.5,18,13,64488,103,6.33
31,9.6,18,30,51395,117,11.98
33,8.6,3,23,20781,4,4.74
67,4.2,3,2,30287,247,4.76
48,9.6,10,11,69498,120,9.59
36,7.1,4,27,46367,285,7.53
22,5.3,19,12,39699,148,10.17
52,5.4,10,1,126016,83,6.67
72,1.7,9,2,96547,230,0.57
78,1.8,7,4,48987,287,2.06
16,6.4,5,10,35688,160,6.46
8,6.0,5,7,74641,271,3.87
15,2.9,7,25,22631,37,3.99
70,9.5,22,22,61881,225,10.03
18,8.0,14,22,122920,141,8.79
88,2.0,13,11,49353,291,3.99
15,9.4,10,6,6568,150,5.73
42,9.8,11,14,112560,113,10.06
42,10.0,12,23,112955,236,9.12
40,1.5,7,16,57185,65,2.83
12,7.6,17,3,50269,257,10.19
48,5.9,0,28,52526,248,8.85
35,7.4,14,21,108937,179,7.73
14,9.7,7,24,51061,189,7.89
80,7.2,10,12,76097,153,5.91
79,8.5,11,17,127318,195,7.34
19,8.8,11,0,68777,261,7.64
41,8.5,3,15,9278,142,7.75
40,4.8,15,12,62968,100,6.9
55,3.0,3,9,51247,243,5.81
30,4.6,4,11,71826,11,3.38
69,9.0,23,29,57860,238,7.67
44,2.3,4,1,133197,48,4.16
51,5.6,7,22,118032,41,7.44
42,3.1,9,2,130606,165,2.04
72,6.2,16,9,125350,81,6.14
54,8.8,8,1,33520,290,9.61
85,8.9,21,29,65081,157,13.82
10,3.1,18,26,91027,215,8.49
8,9.2,13,22,102415,157,7.23
12,6.3,7,12,134661,133,4.93
21,4.2,8,12,144901,66,5.64
34,7.4,21,17,61750,6,10.59
16,5.3,10,2,25026,13,3.55
86,4.4,22,26,100934,72,7.62
22,7.3,0,6,98711,162,5.04
49,3.2,13,13,11853,65,6.41
84,4.0,4,19,82141,129,5.35
58,4.9,20,28,33862,205,12.73
70,3.3,13,29,99018,275,4.84
59,4.6,3,16,95281,255,6.62
11,6.1,21,28,37077,265,9.28
30,7.7,22,29,111762,24,12.17
22,7.9,0,20,146585,280,7.16
50,8.4,21,11,72915,252,13.15
36,7.7,22,24,141598,288,15.85
43,7.1,18,15,110291,163,11.92
20,3.1,7,23,132832,94,3.08
